time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2026-08-18 14:39:16.702 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43614961664,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,5,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1852309504,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:40:16.707 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615178752,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,7,7,5,7, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1866989568, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:41:16.711 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615170560,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1891106816, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:42:16.717 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615162368,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,7,7,5,7, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1911029760, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:43:16.721 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615166464,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,5,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , ,1,104,528482304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:44:16.728 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43614953472,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,541065216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:45:16.734 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43614949376,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,558891008, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:46:16.740 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43614945280,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,577765376, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:47:16.744 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43614904320,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,637534208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:48:16.748 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43614896128,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,7,7,7,7, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,661651456, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
